DATE,GDPPOT
2006/7/1,15210.65546
2006/10/1,15291.51445
2007/1/1,15370.11139
2007/4/1,15445.29129
2007/7/1,15518.27263
2007/10/1,15589.9212
2008/1/1,15661.43716
2008/4/1,15732.30074
2008/7/1,15801.95397
2008/10/1,15869.00983
2009/1/1,15931.69834
2009/4/1,15990.65297
2009/7/1,16045.76144
2009/10/1,16097.70657
2010/1/1,16147.43832
2010/4/1,16195.75343
2010/7/1,16246.5355
2010/10/1,16302.48621
2011/1/1,16367.13238
2011/4/1,16442.75457
2011/7/1,16526.00192
2011/10/1,16611.84356
2012/1/1,16695.71827
2012/4/1,16774.5238
2012/7/1,16848.88146
2012/10/1,16920.63961
2013/1/1,16992.08912
2013/4/1,17064.80634
2013/7/1,17138.94326
2013/10/1,17215.28089
2014/1/1,17294.03215
2014/4/1,17375.11499
2014/7/1,17459.27804
2014/10/1,17545.39281
2015/1/1,17632.92749
2015/4/1,17721.25265
2015/7/1,17808.32614
2015/10/1,17891.85268
2016/1/1,17970.54072
2016/4/1,18043.22093
2016/7/1,18112.5717
2016/10/1,18182.73138
2017/1/1,18258.02308
2017/4/1,18341.0913
2017/7/1,18431.69253
2017/10/1,18525.54053
2018/1/1,18619.20132
2018/4/1,18709.61827
2018/7/1,18797.95032
2018/10/1,18884.59789
2019/1/1,18971.8074
2019/4/1,19061.78761
2019/7/1,19154.50856
2019/10/1,19247.21524
2020/1/1,19336.51944
2020/4/1,19419.26635
2020/7/1,19490.37135
2020/10/1,19573.10381
2021/1/1,19661.61662
2021/4/1,19756.95743
2021/7/1,19856.92321
2021/10/1,19957.97445
2022/1/1,20057.88
2022/4/1,20153.81
2022/7/1,20245.66
2022/10/1,20334.21
2023/1/1,20420.68
2023/4/1,20511.89
2023/7/1,20603.7
2023/10/1,20693.38
2024/1/1,20782.72
2024/4/1,20871.91
2024/7/1,20961.73
2024/10/1,21052.3
2025/1/1,21143.69
2025/4/1,21235.79
2025/7/1,21329.03
2025/10/1,21423.29
