DATE,GDPPOT
1950/1/1,2218.566586
1950/4/1,2248.161822
1950/7/1,2277.049682
1950/10/1,2306.715167
1951/1/1,2336.504742
1951/4/1,2366.258763
1951/7/1,2397.670725
1951/10/1,2431.265472
1952/1/1,2466.61994
1952/4/1,2505.135032
1952/7/1,2542.121488
1952/10/1,2577.02382
1953/1/1,2607.723714
1953/4/1,2634.672824
1953/7/1,2657.379983
1953/10/1,2676.802387
1954/1/1,2694.794088
1954/4/1,2711.217516
1954/7/1,2727.099666
1954/10/1,2743.72673
1955/1/1,2760.13628
1955/4/1,2777.950765
1955/7/1,2795.471543
1955/10/1,2813.577876
1956/1/1,2831.841039
1956/4/1,2849.605915
1956/7/1,2868.08858
1956/10/1,2887.854444
1957/1/1,2909.607507
1957/4/1,2933.318877
1957/7/1,2958.407273
1957/10/1,2984.683617
1958/1/1,3010.81731
1958/4/1,3037.36615
1958/7/1,3064.178023
1958/10/1,3092.557608
1959/1/1,3121.917182
1959/4/1,3153.20073
1959/7/1,3186.789565
1959/10/1,3220.750337
1960/1/1,3255.290989
1960/4/1,3288.916718
1960/7/1,3321.957785
1960/10/1,3353.814414
1961/1/1,3385.151548
1961/4/1,3414.679709
1961/7/1,3445.236389
1961/10/1,3476.671046
1962/1/1,3510.589803
1962/4/1,3547.393872
1962/7/1,3586.443274
1962/10/1,3626.627231
1963/1/1,3666.778391
1963/4/1,3706.643272
1963/7/1,3746.319947
1963/10/1,3786.464724
1964/1/1,3826.859959
1964/4/1,3868.697235
1964/7/1,3911.458427
1964/10/1,3954.398369
1965/1/1,3998.505708
1965/4/1,4041.476659
1965/7/1,4085.65425
1965/10/1,4129.934919
1966/1/1,4174.515521
1966/4/1,4219.36465
1966/7/1,4264.871346
1966/10/1,4310.62123
1967/1/1,4358.020291
1967/4/1,4406.935004
1967/7/1,4457.076683
1967/10/1,4508.584299
1968/1/1,4560.321462
1968/4/1,4611.306498
1968/7/1,4662.809612
1968/10/1,4714.663061
1969/1/1,4764.662644
1969/4/1,4812.832377
1969/7/1,4858.69989
1969/10/1,4902.547275
1970/1/1,4944.570917
1970/4/1,4984.706055
1970/7/1,5023.881095
1970/10/1,5063.002727
1971/1/1,5103.742332
1971/4/1,5147.139965
1971/7/1,5191.945861
1971/10/1,5236.834762
1972/1/1,5280.650704
1972/4/1,5322.35961
1972/7/1,5362.846901
1972/10/1,5403.296627
1973/1/1,5445.080448
1973/4/1,5490.156276
1973/7/1,5536.767215
1973/10/1,5584.998633
1974/1/1,5633.962034
1974/4/1,5682.995858
1974/7/1,5731.323108
1974/10/1,5779.018502
1975/1/1,5825.750698
1975/4/1,5871.953475
1975/7/1,5918.017824
1975/10/1,5964.052745
1976/1/1,6009.552465
1976/4/1,6055.253356
1976/7/1,6101.883262
1976/10/1,6149.124218
1977/1/1,6198.163576
1977/4/1,6248.784102
1977/7/1,6300.478848
1977/10/1,6353.690967
1978/1/1,6408.206795
1978/4/1,6463.574434
1978/7/1,6520.347388
1978/10/1,6578.319104
1979/1/1,6638.290149
1979/4/1,6696.682723
1979/7/1,6752.285489
1979/10/1,6804.106738
1980/1/1,6851.121674
1980/4/1,6892.435877
1980/7/1,6928.227681
1980/10/1,6965.69994
1981/1/1,7007.250767
1981/4/1,7052.190668
1981/7/1,7099.882793
1981/10/1,7150.157581
1982/1/1,7202.11983
1982/4/1,7255.183995
1982/7/1,7309.422617
1982/10/1,7365.18587
1983/1/1,7421.653951
1983/4/1,7480.47223
1983/7/1,7541.467179
1983/10/1,7604.750139
1984/1/1,7689.932576
1984/4/1,7754.997657
1984/7/1,7820.89414
1984/10/1,7888.042521
1985/1/1,7956.504546
1985/4/1,8026.834224
1985/7/1,8098.280374
1985/10/1,8169.849869
1986/1/1,8240.693813
1986/4/1,8310.543566
1986/7/1,8379.630515
1986/10/1,8448.305367
1987/1/1,8516.488441
1987/4/1,8584.470542
1987/7/1,8652.041835
1987/10/1,8719.379292
1988/1/1,8785.472576
1988/4/1,8850.853458
1988/7/1,8916.20104
1988/10/1,8983.07218
1989/1/1,9052.633535
1989/4/1,9125.662668
1989/7/1,9200.500818
1989/10/1,9274.997843
1990/1/1,9346.287613
1990/4/1,9412.855082
1990/7/1,9474.692519
1990/10/1,9533.314454
1991/1/1,9590.449791
1991/4/1,9647.297301
1991/7/1,9704.421135
1991/10/1,9762.367346
1992/1/1,9821.262797
1992/4/1,9881.311432
1992/7/1,9943.077889
1992/10/1,10005.80437
1993/1/1,10069.37594
1993/4/1,10134.24738
1993/7/1,10199.7735
1993/10/1,10265.75327
1994/1/1,10331.88276
1994/4/1,10398.04074
1994/7/1,10464.78535
1994/10/1,10531.74389
1995/1/1,10598.58353
1995/4/1,10665.93731
1995/7/1,10734.00027
1995/10/1,10804.97621
1996/1/1,10879.30916
1996/4/1,10961.16945
1996/7/1,11050.50272
1996/10/1,11145.65794
1997/1/1,11244.92401
1997/4/1,11346.38401
1997/7/1,11450.56978
1997/10/1,11556.793
1998/1/1,11664.98592
1998/4/1,11776.73206
1998/7/1,11892.75755
1998/10/1,12015.91978
1999/1/1,12149.43743
1999/4/1,12293.89343
1999/7/1,12445.48733
1999/10/1,12599.25024
2000/1/1,12748.60443
2000/4/1,12885.22774
2000/7/1,13008.44473
2000/10/1,13121.05018
2001/1/1,13226.24165
2001/4/1,13326.93008
2001/7/1,13424.3506
2001/10/1,13519.87564
2002/1/1,13614.63997
2002/4/1,13710.49561
2002/7/1,13806.64839
2002/10/1,13900.71519
2003/1/1,13990.85818
2003/4/1,14076.16575
2003/7/1,14157.50922
2003/10/1,14238.51725
2004/1/1,14322.50279
2004/4/1,14410.89596
2004/7/1,14503.81213
2004/10/1,14598.79556
2005/1/1,14691.63057
2005/4/1,14780.55432
2005/7/1,14867.4695
2005/10/1,14953.14598
2006/1/1,15038.7844
2006/4/1,15125.7061
