Date,Last Price
2023/9/25,4.7666
2023/9/22,4.7111
2023/9/21,4.769
2023/9/20,4.6387
2023/9/19,4.6115
2023/9/18,4.5648
2023/9/15,4.6016
2023/9/14,4.5623
2023/9/13,4.527
2023/9/12,4.5416
2023/9/11,4.5623
2023/9/8,4.5294
2023/9/7,4.5282
2023/9/6,4.544
2023/9/5,4.5586
2023/9/1,4.481
2023/8/31,4.4033
2023/8/30,4.414
2023/8/29,4.4188
2023/8/28,4.4798
2023/8/25,4.4931
2023/8/24,4.5051
2023/8/23,4.4813
2023/8/22,4.608
2023/8/21,4.6391
2023/8/18,4.5602
2023/8/17,4.5716
2023/8/16,4.5356
2023/8/15,4.4986
2023/8/14,4.4669
2023/8/11,4.4454
2023/8/10,4.4239
2023/8/9,4.3319
2023/8/8,4.3628
2023/8/7,4.425
2023/8/4,4.3652
2023/8/3,4.4726
2023/8/2,4.3601
2023/8/1,4.2935
2023/7/31,4.2109
2023/7/28,4.2145
2023/7/27,4.2458
2023/7/26,4.1293
2023/7/25,4.134
2023/7/24,4.1221
2023/7/21,4.0984
2023/7/20,4.1043
2023/7/19,4.0279
2023/7/18,4.0736
2023/7/17,4.1007
2023/7/14,4.1149
2023/7/13,4.07
2023/7/12,4.1338
2023/7/11,4.2127
2023/7/10,4.2356
2023/7/7,4.272
2023/7/6,4.2319
2023/7/5,4.1455
2023/7/3,4.0757
2023/6/30,4.0722
2023/6/29,4.1039
2023/6/28,3.9974
2023/6/27,4.037
2023/6/26,4.0055
2023/6/23,4.009
2023/6/22,4.0626
2023/6/21,3.9928
2023/6/20,3.9951
2023/6/16,4.0427
2023/6/15,4.0124
2023/6/14,4.0661
2023/6/13,4.1013
2023/6/12,4.0497
2023/6/9,4.0496
2023/6/8,4.0484
2023/6/7,4.1189
2023/6/6,4.0019
2023/6/5,4.0344
2023/6/2,4.0414
2023/6/1,3.9684
2023/5/31,4.0181
2023/5/30,4.0565
2023/5/26,4.1401
2023/5/25,4.1638
2023/5/24,4.1282
2023/5/23,4.0835
2023/5/22,4.0929
2023/5/19,4.0577
2023/5/18,4.0297
2023/5/17,3.9619
2023/5/16,3.9492
2023/5/15,3.9273
2023/5/12,3.8781
2023/5/11,3.8135
2023/5/10,3.8701
2023/5/9,3.9238
2023/5/8,3.9112
2023/5/5,3.8395
2023/5/4,3.8034
2023/5/3,3.7609
2023/5/2,3.8124
2023/5/1,3.9272
2023/4/28,3.799
2023/4/27,3.8781
2023/4/26,3.8147
2023/4/25,3.7721
2023/4/24,3.8316
2023/4/21,3.9066
2023/4/20,3.8645
2023/4/19,3.91
2023/4/18,3.9009
2023/4/17,3.9215
2023/4/14,3.8475
2023/4/13,3.789
2023/4/12,3.7356
2023/4/11,3.7423
